"gene","subtype","expr_significant","outlier_significant","rank_significant","n_methods_significant","expr_fold_change","target_expr","expr_fdr","outlier_fdr","target_rank"
"HAUS1","scne",FALSE,TRUE,FALSE,1,1.24186158096124,6.90576640293152,NA,0.00194003974065282,0.948818897637795
"NAT10","scne",FALSE,TRUE,FALSE,1,0.959583065900622,4.24590495756586,NA,0.00207927647807567,0.612860892388451
"SNX33","scne",FALSE,TRUE,FALSE,1,0.657729657146437,1.9985098683909,NA,0.00207927647807567,0.221128608923885
"TEX15","scne",FALSE,TRUE,FALSE,1,3.78768431240195,0.524307478922364,NA,0.00215074321715934,0.0859580052493438
"SEH1L","scne",FALSE,TRUE,FALSE,1,1.1579363267087,5.41971427217984,NA,0.00216559563450642,0.815616797900262
"YY1","scne",FALSE,TRUE,FALSE,1,1.07079508487928,6.15109750736344,NA,0.00235866667744938,0.896325459317585
"CDC14A","scne",FALSE,TRUE,FALSE,1,1.6227820098819,3.65463154138876,NA,0.00246917282601955,0.486876640419947
"RUVBL1","scne",FALSE,TRUE,FALSE,1,1.14257152505621,6.26301980021335,NA,0.00249985007294351,0.906167979002625
"BRINP1","scne",FALSE,TRUE,FALSE,1,3.8461878180769,1.50239556532589,NA,0.00252436719047757,0.179133858267717
"TENT4A","scne",FALSE,TRUE,FALSE,1,1.22434511724307,4.28448857572402,NA,0.0027730847656985,0.62007874015748
"CENPJ","scne",FALSE,TRUE,FALSE,1,1.52327038643088,2.28596010198716,NA,0.00280239056959389,0.263779527559055
"TRIM71","scne",FALSE,TRUE,FALSE,1,3.88393544676443,0.340316837136029,NA,0.00304802810608883,0.0669291338582677
"NPM2","scne",FALSE,TRUE,FALSE,1,2.16315514908655,1.76281784622376,NA,0.00307502264309547,0.199475065616798
"RFPL1","scne",FALSE,TRUE,FALSE,1,3.90024713316292,0.101141804063652,NA,0.00311780792929138,0.0347769028871391
"ZFP36L1","scne",FALSE,TRUE,FALSE,1,0.828855446760327,6.02299098907873,NA,0.00342480496373074,0.887795275590551
"MBIP","scne",FALSE,TRUE,FALSE,1,1.23406258006799,4.98234522037473,NA,0.0034995850763117,0.738188976377953
"MYH10","scne",FALSE,TRUE,FALSE,1,1.28038572145355,3.65347468176542,NA,0.0041787267246661,0.486220472440945
"SUN1","scne",FALSE,TRUE,FALSE,1,1.2829577010929,4.27968227515561,NA,0.0041787267246661,0.618766404199475
"HNRNPU","scne",FALSE,TRUE,FALSE,1,1.17677066971269,6.37498252616829,NA,0.00438700784842478,0.917322834645669
"CDK5R1","scne",FALSE,TRUE,FALSE,1,1.92828128152946,3.38739867027431,NA,0.00451034210228164,0.426509186351706
"RINT1","scne",FALSE,TRUE,FALSE,1,1.16374890953464,4.19724842937513,NA,0.0047930225518221,0.597769028871391
"PML","scne",FALSE,TRUE,FALSE,1,0.666242088176629,2.72603302298581,NA,0.0047930225518221,0.324803149606299
"GADD45G","scne",FALSE,TRUE,FALSE,1,1.85492606173948,5.13818755313244,NA,0.00484550164979766,0.767716535433071
"BARD1","scne",FALSE,TRUE,FALSE,1,1.50081745548538,3.22090014768548,NA,0.00494543037692305,0.396325459317585
"SIK1","scne",FALSE,TRUE,FALSE,1,0.521337882178375,0.954503276827812,NA,0.00564455161994946,0.124015748031496
"NABP2","scne",FALSE,TRUE,FALSE,1,1.14168896083868,5.91493368146928,NA,0.00628720740778213,0.874671916010499
"POLA1","scne",FALSE,TRUE,FALSE,1,1.73060180719288,1.26378374653956,NA,0.00651936853495826,0.152887139107612
"PNPT1","scne",FALSE,TRUE,FALSE,1,1.07278172514352,3.14724310529475,NA,0.00656129779135422,0.381233595800525
"CDK19","scne",FALSE,TRUE,FALSE,1,1.36647594631638,4.23721200112321,NA,0.00661676238173688,0.611548556430446
"ACTR2","scne",FALSE,TRUE,FALSE,1,0.935961456270618,7.00401322942045,NA,0.00679524706504521,0.951443569553806
"GPSM1","scne",FALSE,TRUE,FALSE,1,2.15022982912576,3.04830033606382,NA,0.00703079792659601,0.362860892388451
"BRSK1","scne",FALSE,TRUE,FALSE,1,2.96849106689564,2.59417109790766,NA,0.00716140867095056,0.298556430446194
"BCL7A","scne",FALSE,TRUE,FALSE,1,1.3248922532632,3.96965386175739,NA,0.00716140867095056,0.551837270341207
"ZW10","scne",FALSE,TRUE,FALSE,1,1.13509454259181,4.20194345962317,NA,0.0075703726436562,0.601049868766404
"PPP3CA","scne",FALSE,TRUE,FALSE,1,1.21476535265194,5.40663838997396,NA,0.00761996132917954,0.812992125984252
"BCL6","scne",FALSE,TRUE,FALSE,1,0.758466628470339,3.63365523671644,NA,0.00770119420974866,0.481627296587927
"CGRRF1","scne",FALSE,TRUE,FALSE,1,1.28995848857047,4.28413692245817,NA,0.00816080147839492,0.619422572178478
"EML3","scne",FALSE,TRUE,FALSE,1,0.670026940639098,1.52104570117166,NA,0.00816080147839492,0.181758530183727
"CRY1","scne",FALSE,TRUE,FALSE,1,1.27461039986118,4.61647635621721,NA,0.00836678200725411,0.679790026246719
"XPO1","scne",FALSE,TRUE,FALSE,1,1.09487801811231,6.19339455081673,NA,0.00845013523360241,0.899606299212598
"MZT1","scne",FALSE,TRUE,FALSE,1,1.2574189890871,5.81024686404822,NA,0.00866595962599022,0.863517060367454
"SYCP2","scne",FALSE,TRUE,FALSE,1,2.5416408091142,2.1641356998029,NA,0.00871775063618827,0.245406824146982
"DCDC1","scne",FALSE,TRUE,FALSE,1,3.03328848973888,0.371080742839881,NA,0.00871775063618827,0.0708661417322835
"RAE1","scne",FALSE,TRUE,FALSE,1,1.11345150841386,5.36825043850873,NA,0.009322278405992,0.809055118110236
"GPR3","scne",FALSE,TRUE,FALSE,1,2.16493251401968,1.17431099534626,NA,0.00933755186577456,0.141732283464567
"RDX","scne",FALSE,TRUE,FALSE,1,1.07855510255317,5.22120619533449,NA,0.00968048744677656,0.786089238845144
"CIT","scne",FALSE,TRUE,FALSE,1,1.72396281579583,2.45988387824109,NA,0.00983993914370427,0.284120734908136
"ATF5","scne",FALSE,TRUE,FALSE,1,1.20928230210461,6.06862446042897,NA,0.0103473621524326,0.89238845144357
"CLOCK","scne",FALSE,TRUE,FALSE,1,1.09976074625493,2.97841462286139,NA,0.0109258895931693,0.353674540682415
"REEP3","scne",FALSE,TRUE,FALSE,1,0.948652151832957,4.25841191069067,NA,0.0112825806497751,0.613517060367454
"TUBE1","scne",FALSE,TRUE,FALSE,1,1.28408616850076,3.43172916649448,NA,0.0120653335983184,0.434383202099738
"PHIP","scne",FALSE,TRUE,FALSE,1,1.19054089717709,3.82630953667378,NA,0.0127980713095674,0.521653543307087
"NUDT6","scne",FALSE,TRUE,FALSE,1,1.32970553312827,3.21736631888149,NA,0.0133587834026537,0.39501312335958
"SLC26A8","scne",FALSE,TRUE,FALSE,1,2.24975059913815,0.0885102660531394,NA,0.0133587834026537,0.0321522309711286
"UNC119","scne",FALSE,TRUE,FALSE,1,1.0733022426711,5.45540763385907,NA,0.0134067701624617,0.821522309711286
"GAS2","scne",FALSE,TRUE,FALSE,1,3.34914714696701,2.24258004868,NA,0.0135483148106465,0.257217847769029
"NLE1","scne",FALSE,TRUE,FALSE,1,1.29732130329036,2.6682530200724,NA,0.0142528841784502,0.310367454068241
"MTBP","scne",FALSE,TRUE,FALSE,1,1.52718411264301,3.12922374345037,NA,0.0146387937315254,0.377952755905512
"DPF2","scne",FALSE,TRUE,FALSE,1,1.18672438204723,2.42311440178403,NA,0.0150651094460035,0.279527559055118
"TOP3A","scne",FALSE,TRUE,FALSE,1,1.30666293127819,3.50799268350773,NA,0.0152916320084474,0.451443569553806
"PSMD10","scne",FALSE,TRUE,FALSE,1,1.0666577148053,6.77656052597313,NA,0.0155574112558496,0.942913385826772
"TAF10","scne",FALSE,TRUE,FALSE,1,0.936333074508852,6.01317232314113,NA,0.0156067190038062,0.885826771653543
"STK33","scne",FALSE,TRUE,FALSE,1,2.54866275423064,2.13132898429383,NA,0.0162211437618075,0.240813648293963
"INHA","scne",FALSE,TRUE,FALSE,1,2.13585996108314,0.738073537786378,NA,0.0171072871996109,0.106299212598425
"ATAD5","scne",FALSE,TRUE,FALSE,1,1.7131711729499,2.52172634050092,NA,0.0171072871996109,0.292650918635171
"PPM1A","scne",FALSE,TRUE,FALSE,1,1.0626388258177,4.89957518217091,NA,0.0171072871996109,0.72244094488189
"TOP1","scne",FALSE,TRUE,FALSE,1,1.04337253934472,6.01220148787074,NA,0.0171072871996109,0.885170603674541
"GBF1","scne",FALSE,TRUE,FALSE,1,0.7006613879895,2.20093633270379,NA,0.0174911594430594,0.250656167979003
"SPIN1","scne",FALSE,TRUE,FALSE,1,1.12230054319275,5.54943773387312,NA,0.01763064622918,0.834645669291339
"CEP76","scne",FALSE,TRUE,FALSE,1,1.3605196847784,3.3708049601133,NA,0.0177759609442289,0.423884514435696
"APBB1","scne",FALSE,TRUE,FALSE,1,1.48817431711014,0.862619318488405,NA,0.0181295924127619,0.11745406824147
"IPO5","scne",FALSE,TRUE,FALSE,1,1.07536295311543,5.50501961761246,NA,0.0186838127948454,0.826771653543307
"PIN1","scne",FALSE,TRUE,FALSE,1,1.12266806440164,6.75209963447146,NA,0.018838714079287,0.940288713910761
"APPL2","scne",FALSE,TRUE,FALSE,1,1.23300730270937,5.35296024694203,NA,0.0193992415836791,0.807742782152231
"PLSCR1","scne",FALSE,TRUE,FALSE,1,0.846077124591931,5.26280985890478,NA,0.0194366340935955,0.796587926509186
"ZNF207","scne",FALSE,TRUE,FALSE,1,1.04713255652502,7.22564928176357,NA,0.0194366340935955,0.960629921259842
"CEP44","scne",FALSE,TRUE,FALSE,1,1.20799090240902,3.53952819687418,NA,0.0194366340935955,0.46259842519685
"METTL3","scne",FALSE,TRUE,FALSE,1,1.1034732822658,5.0388612083397,NA,0.0206820406838753,0.748031496062992
