"gene","subtype","n_methods_significant","expr_fold_change","target_expression","expr_fdr","target_rank"
"SND1","mes",1,1.08785273287513,6.50323813620284,NA,0.923884514435696
"CUL2","mes",1,0.919350335676943,2.87322249440501,NA,0.37992125984252
"FBXO7","mes",1,1.08594784909051,6.49968940433647,NA,0.923228346456693
"SLC25A5","mes",1,0.921463989162172,8.31918834645734,NA,0.980971128608924
"NAA50","mes",1,0.92173714229534,5.64253797898927,NA,0.853018372703412
"CHFR","mes",1,1.08330779629279,3.60358543805217,NA,0.511811023622047
"ITGB1","mes",1,1.08178932431749,8.86958328810927,NA,0.986876640419947
"PPP2CB","mes",1,1.08123615756602,6.51690043437461,NA,0.926509186351706
"RNF4","mes",1,1.08100301132776,5.64831056173851,NA,0.854330708661417
"AKT1","mes",1,1.08044997458709,6.24391134743925,4.51151338509703e-08,0.904199475065617
"TUBB4B","mes",1,0.925783229921849,7.6509590619624,NA,0.968503937007874
"SEPTIN7","mes",1,1.07772272433702,7.28992686186983,NA,0.961286089238845
"CCNH","mes",1,1.0762482876207,5.16248322686589,NA,0.784776902887139
"NSUN2","mes",1,0.929827987001109,5.00805222300085,NA,0.769685039370079
"APP","mes",1,1.07516217511891,8.09891651263856,NA,0.979002624671916
"IK","mes",1,1.07209243507541,6.84175686665121,NA,0.940944881889764
"RRP8","mes",1,1.07192088397379,3.57424833011987,NA,0.504593175853018
"UBE2B","mes",1,1.06714709524499,5.32422273404936,NA,0.813648293963255
"NAE1","mes",1,0.939982062118441,5.17645729154093,NA,0.788057742782152
"PES1","mes",1,1.06318563175503,5.6514774844315,NA,0.85498687664042
"PLRG1","mes",1,1.06085265129674,5.48853748760192,NA,0.832677165354331
"CDC27","mes",1,1.05556595976288,4.77265043225708,NA,0.732283464566929
"RNF2","mes",1,0.949011376589955,3.92458080831431,NA,0.574146981627297
"MORF4L1","mes",1,1.0527508269262,8.873157988774,NA,0.98753280839895
"CDC23","mes",1,0.957559478442077,4.49109655083211,NA,0.694225721784777
"MAPK14","mes",1,1.0441158125533,5.20764282285445,NA,0.797244094488189
"GSPT1","mes",1,0.963412264852814,6.26383110696929,NA,0.906824146981627
"AATF","mes",1,1.03571620929826,5.57387148995995,NA,0.843175853018373
"VCP","mes",1,1.03171742158772,6.55581933227511,NA,0.929790026246719
"ARF1","mes",1,1.02513618335218,8.6541754449666,NA,0.985564304461942
"DCTN2","mes",1,0.983425364112275,5.59275043269862,NA,0.846456692913386
