"gene","subtype","n_methods_significant","expr_fold_change","target_expression","expr_fdr","target_rank"
"ATF5","scne",1,1.20928230210461,6.06862446042897,NA,0.89238845144357
"CEP44","scne",1,1.20799090240902,3.53952819687418,NA,0.46259842519685
"HAUS6","scne",1,1.20742527008355,3.98074236726948,NA,0.55511811023622
"ZFP36L1","scne",1,0.828855446760327,6.02299098907873,NA,0.887795275590551
"ERCC2","scne",1,1.20414735250625,2.69457190436172,NA,0.316929133858268
"MAP3K11","scne",1,0.831261090266285,3.76693345897469,NA,0.507874015748031
"RAD21","scne",1,1.20027020648083,7.18856434597196,NA,0.958661417322835
"DDIT3","scne",1,1.19494484237379,6.73156358157932,NA,0.938976377952756
"KLHDC8B","scne",1,0.83816239259514,3.39905934037678,NA,0.429133858267717
"ARL3","scne",1,1.19080777638507,4.59820280965864,NA,0.677165354330709
"PHIP","scne",1,1.19054089717709,3.82630953667378,NA,0.521653543307087
"DPF2","scne",1,1.18672438204723,2.42311440178403,NA,0.279527559055118
"UCHL5","scne",1,1.18412311894855,4.16529028905184,NA,0.591207349081365
"PLSCR1","scne",1,0.846077124591931,5.26280985890478,NA,0.796587926509186
"INTS7","scne",1,1.18123236561006,4.21366090853265,NA,0.603674540682415
"THAP5","scne",1,1.17969272639938,4.68354714867135,NA,0.688976377952756
"HNRNPU","scne",1,1.17677066971269,6.37498252616829,NA,0.917322834645669
"MIS12","scne",1,1.17337463254488,5.14795157664603,NA,0.771653543307087
"BIN3","scne",1,0.854096903229496,3.59038963236411,NA,0.47244094488189
"ETAA1","scne",1,1.16889884126075,3.29086551434988,NA,0.40748031496063
"MAPRE3","scne",1,1.16789285068478,3.66991444755299,NA,0.490813648293963
"BID","scne",1,0.858231014624267,5.14231695890703,NA,0.769028871391076
"BOD1","scne",1,1.16440984387896,6.12287841991984,NA,0.894356955380577
"ING3","scne",1,1.16418593558732,4.39560112986321,NA,0.644356955380577
"RINT1","scne",1,1.16374890953464,4.19724842937513,NA,0.597769028871391
"LIPA","scne",1,0.860750749098321,5.25120883547662,NA,0.793307086614173
"SEH1L","scne",1,1.1579363267087,5.41971427217984,NA,0.815616797900262
"STAG2","scne",1,1.15373650769663,4.59329274083601,NA,0.676509186351706
"NSMCE2","scne",1,1.15029444367961,5.64546501642247,NA,0.845144356955381
"LLGL1","scne",1,1.14807729314716,4.01246482575096,NA,0.56758530183727
"CHMP1A","scne",1,0.871108651517782,5.01571038993281,NA,0.743438320209974
"MMS19","scne",1,0.871742556279236,3.35660533009122,NA,0.418635170603675
"CDC5L","scne",1,1.14703363444201,4.7634009287588,NA,0.706692913385827
"HAUS3","scne",1,1.1464447474157,3.46169158983942,NA,0.441601049868766
"TMOD3","scne",1,0.874227470705706,3.80723959634886,NA,0.51509186351706
"ZNF655","scne",1,0.875151075343988,3.9994657148386,NA,0.561679790026247
"RUVBL1","scne",1,1.14257152505621,6.26301980021335,NA,0.906167979002625
"WDR12","scne",1,1.14210397358375,3.10890840441093,NA,0.374015748031496
"NABP2","scne",1,1.14168896083868,5.91493368146928,NA,0.874671916010499
"VPS4A","scne",1,0.876596874444628,3.40707353982979,NA,0.429790026246719
"MNAT1","scne",1,1.13880723852961,4.94255042176454,NA,0.729658792650919
"EIF4G1","scne",1,0.87974291961157,4.8372740272644,NA,0.717191601049869
"AKAP8L","scne",1,1.13647485464613,4.65860114602282,NA,0.685695538057743
"CDK4","scne",1,1.13571085341938,7.28625754241929,4.1794345762014e-11,0.96259842519685
"ZW10","scne",1,1.13509454259181,4.20194345962317,NA,0.601049868766404
"WDR5","scne",1,1.13197676164069,5.09170674296086,NA,0.758530183727034
"RBM14","scne",1,1.13067835035346,5.65093606724458,NA,0.845800524934383
"MRE11","scne",1,1.13008312791561,4.09028677422831,NA,0.58005249343832
"AHCTF1","scne",1,1.13007253621774,3.84934961229285,NA,0.526902887139108
"PHACTR4","scne",1,1.1283874779726,3.72617732832321,NA,0.501312335958005
"CHEK2","scne",1,1.12596354372413,3.84400739695118,2.8718643093247e-06,0.524278215223097
"INO80B","scne",1,0.889590415969667,3.71168415203313,NA,0.498687664041995
"PIN1","scne",1,1.12266806440164,6.75209963447146,NA,0.940288713910761
"SPIN1","scne",1,1.12230054319275,5.54943773387312,NA,0.834645669291339
"PRMT5","scne",1,1.11860018739652,6.22701057452744,NA,0.903543307086614
"RAE1","scne",1,1.11345150841386,5.36825043850873,NA,0.809055118110236
"BUB3","scne",1,1.11037172325027,7.00838764771565,NA,0.952099737532808
"TIPRL","scne",1,1.10844271493486,5.85021216415791,NA,0.866797900262467
"ANAPC5","scne",1,1.1082559498676,5.56104315049898,NA,0.835958005249344
"NEDD1","scne",1,1.10732625755371,4.27764025635691,NA,0.61745406824147
"WIZ","scne",1,1.10646521723365,3.94980242674864,NA,0.542650918635171
"ANAPC7","scne",1,1.1057466580895,5.25377726559972,NA,0.793963254593176
"METTL3","scne",1,1.1034732822658,5.0388612083397,NA,0.748031496062992
"ING2","scne",1,1.0999461818907,3.05881768097581,NA,0.365485564304462
"CLOCK","scne",1,1.09976074625493,2.97841462286139,NA,0.353674540682415
"TP53BP2","scne",1,1.09667305832607,4.27894379661695,NA,0.618110236220472
"XPO1","scne",1,1.09487801811231,6.19339455081673,NA,0.899606299212598
"ANAPC10","scne",1,1.09281955853002,4.45577772550923,NA,0.654855643044619
"SDE2","scne",1,1.0913894081813,3.96778716474961,NA,0.550524934383202
"PRCC","scne",1,1.09011494150535,5.98459372649225,NA,0.883202099737533
"MCMBP","scne",1,1.08999780788449,5.05186024092589,NA,0.75262467191601
"YWHAE","scne",1,1.08798298645184,9.42257689852723,NA,0.98753280839895
"KHDRBS1","scne",1,1.08721984917978,7.35790247067621,NA,0.964566929133858
"CHTF8","scne",1,0.920634603124869,5.52715037563444,NA,0.832020997375328
"HAUS2","scne",1,1.08438387840193,3.81325830427524,NA,0.517060367454068
"CTNNB1","scne",1,1.07945372036997,8.12860477167975,4.1794345762014e-11,0.976377952755906
"RDX","scne",1,1.07855510255317,5.22120619533449,NA,0.786089238845144
"RAN","scne",1,1.07767350072019,7.62684998062822,NA,0.970472440944882
"KMT5A","scne",1,1.07712949587593,4.722886374376,NA,0.698162729658793
"UBE2L3","scne",1,0.928789673383595,5.46662427031284,NA,0.823490813648294
"CHMP2A","scne",1,0.929228948953732,7.14877302318898,NA,0.957349081364829
"IPO5","scne",1,1.07536295311543,5.50501961761246,NA,0.826771653543307
"EXOC3","scne",1,0.931027138225726,4.36104934286338,NA,0.637139107611549
"UNC119","scne",1,1.0733022426711,5.45540763385907,NA,0.821522309711286
"PNPT1","scne",1,1.07278172514352,3.14724310529475,NA,0.381233595800525
"PDS5A","scne",1,1.07124571363559,5.2413069206956,NA,0.789370078740158
"YY1","scne",1,1.07079508487928,6.15109750736344,NA,0.896325459317585
"PRPF19","scne",1,1.06921676776921,6.8439823355212,NA,0.94750656167979
"ACTR2","scne",1,0.935961456270618,7.00401322942045,NA,0.951443569553806
"TAF10","scne",1,0.936333074508852,6.01317232314113,NA,0.885826771653543
"PSMD10","scne",1,1.0666577148053,6.77656052597313,NA,0.942913385826772
"MORF4L2","scne",1,1.06442057712425,8.30743124267459,NA,0.979002624671916
"YEATS2","scne",1,1.06330158091339,3.99946432558085,NA,0.561023622047244
"PPM1A","scne",1,1.0626388258177,4.89957518217091,NA,0.72244094488189
"BCCIP","scne",1,1.06216971700213,6.69722709751311,NA,0.937664041994751
"DRG1","scne",1,1.06023569265154,6.27510157974921,NA,0.908136482939633
"EIF4E","scne",1,1.05939972799751,6.269326263234,NA,0.906824146981627
"PSME1","scne",1,0.947230170585525,8.34971646654833,NA,0.979658792650919
"REEP3","scne",1,0.948652151832957,4.25841191069067,NA,0.613517060367454
"ZNF207","scne",1,1.04713255652502,7.22564928176357,NA,0.960629921259842
"SH3GLB1","scne",1,0.955666368407311,6.04001809531733,NA,0.891076115485564
"TOP1","scne",1,1.04337253934472,6.01220148787074,NA,0.885170603674541
"NAT10","scne",1,0.959583065900622,4.24590495756586,NA,0.612860892388451
"TSG101","scne",1,1.03268871583304,6.63701811888305,NA,0.934383202099738
